food/drink,serving,calorie
Almond Milk,1 cup,40
American Cheese,1 slice,31
Apple ,1 apple,95
Apple Juice,8 fl. oz.,110
Apple Pie,1 slice,296
Apple Strudel,1 piece,195
Apple Turnover,1 turnover,285
Applesauce,1 cup,71
Apricot,1 apricot,17
Artichoke,1 artichoke,60
Asparagus,1 spear,2
Avocado,1 avocado,320
Bacon,1 slice,106
Bailey's Irish Cream,1 1/2 fl. oz. ,144
Baked Beans,1 cup,244
Baked Potato,1 potato,161
Balsamic Vinaigrette Dressing,1 tbsp,46
Banana,1 banana,111
Banana Juice,8 fl. oz.,120
BBQ Ribs,1 rib,360
Beef,6 oz.,287
Beef Brisket,1 piece,244
Beef Sirloin,1 serving,155
Beer,1 can,153
Beets,1 beet,35
Bell Peppr,1 pepper,15
Birthday Cake,1 piece,395
Biscuit,1 biscuit,156
Blackberries,1 cup,62
Blue Cheese Dressing,1 tbsp,80
Blueberries,1 cup,84
Blueberry Cobbler ,1 slice,215
Blueberry Muffin,1 muffin,215
Bologna,1 slice,57
Bratwurst ,1 bratwurst,196
Breadsticks,1 breadstick,20
Breakfast Sausage,1 link,44
Broccoli,1 bunch,207
Brown rice,1/2 cup,380
Brownies,1 square,162
Brussel Sprouts,1 sprout,8
Burrito,1 burrito,326
Butter,1 tbsp,108
Butterfinger,1 bar,270
Buttermilk Pancakes,1 pancake,83
Buttermilk Ranch Dressing,1 tbsp,80
Cabbage,1 head,227
Calamari,1 piece,21
Candy Cane,1 piece,59
Candy Corn,20 pieces,148
Cannoli,1 cannoli,216
Cantaloupe,1 wedge,23
Capri-Sun,1 capri-sun,82
Caramel Popcorn,1 cup,162
Carrot,1 carrot,25
Carrot Cake,1 piece,543
Cauliflower,1 floweret,3
Celery,1 stalk,6
Chai,1 cup,0
Cheerios,1 serving,128
Cheescake,1 piece,257
Cheez-It's ,20 crackers,117
Cherries,1 cherry,4
Cherry Pie,1 piece,325
Cherry Tomato,1 cherry tomato,20
Chick Thighs,1 thigh,254
Chicken Breast,1 breat,344
Chicken Drumsticks,1 drumstick,131
Chicken Parmesan,1 piece,250
Chicken Pot Pie,1 pie,673
Chicken Wings,1 wing,141
Chimichanga,1 chimichanga,418
Chocolate Bar,1 bar,240
Chocolate Cake ,1 piece,537
Chocolate Chips,1 tbsp,69
Chocolate Ice Cream,1 scoop,156
Chocolate Milk,1 cup,237
Chocolate Milkshake,10 fl. oz.,354
Chocolate Muffin,1 muffin,420
Clementine,1 clementine,35
Cobb Salad,1 serving,632
Coca Col,1 can,139
Coconut Water,8 fl. oz.,46
Coffee ,1 cup,2
Coffee Cake,1 piece,318
Coffee Creamer,1 tbsp,29
Coffee Ice Cream,1 scoop,170
Concord Grap,8 fl. oz.,170
Cookies ,1 cookie,78
Corn,1 cup,562
Corn Dog,1 corn dog,438
Corn Flakes,1 serving,132
Corn Pops,1 serving,139
Cottage Cheese,1 cup,206
Cotton Candy,1/2 bag,90
Cranberries,1 cup ,46
Cream of Wheat,1 serving,135
Cream Puff,1 puff,434
Cucumber,1 cucumber,66
Cupcake,1 cupcake,131
Donut,1 donut,242
Dried Fruit,2 oz. ,136
Egg ,1 egg,54
Egg Nog,1 cup,224
Eggplant,1 eggplant,115
Enchiladas,1 enchilada,323
Energy Drink,12 f;. oz.,309
Fajita,1 serving,290
Fettuccine,2 oz.,198
Filet Mignon,6 oz. ,348
Fish Sticks,1 stick,81
Flan ,1/2 cup,222
Flank Steak,1 steak,621
Franfurters,1 frankfurter,137
French Fries,1 serving,365
French Vanilla Ice Cream,1 scoop,145
Frosted Flakes,1 serving,136
Fruit Salad,1 cup,125
Funnel Cake,1 cake,276
Gatorade,12 fl. oz. ,82
Gin,1 shot,66
Gnocchi,1 cup,215
Grape Jelly,1 tbsp,51
Grape Juice,8 fl. oz.,144
Grapefruit,1/2 grapefruit,52
Grapes,1 cup,104
Green Beans,1 cup,34
Grilled Cheese,1 sandwich,392
Ground Beef ,6 oz. ,405
Gummi Bears,20 pieces,171
Ham,1 slice,33
Hershey Kisses,10 pieces,236
Hi-C,12 fl. oz.,124
Honey,1 tbsp,64
Hot Chocolate,1 cup,237
Hot Dog,1 hot dog,145
Hot Dog Bun,1 bun,120
Ice Cream Cake,1 piece,240
Ice Cream Sandwich,1 bar,265
Ice Cream Sundae,1 sundae,253
Ice Tea,12 fl. oz.,96
Italian Sausage,1 link,125
Jelly Beans,10 pieces,106
Jerky,1 piece ,82
Jolly Ranchers,1 piece,27
Kale,1 cup,33
Ketchup,1 tbsp,15
Key Lime Pie,1 piece ,287
Kielbasa ,1 link ,232
Kombucha,8 fl. oz.,30
Kool-Aid,8 fl. oz. ,62
Lactose-Free Milk,1 cup ,130
Lasagne,1 serving,284
Lemon,1 lemon,17
Lemon Meringue Pie,1 piece,303
Lemonade,8 fl. oz.,120
Lettuce,1 head,90
Lime,1 lime,20
Limeade,8 fl. oz.,307
Linguine,2 oz.,200
Liverwurst,1 slice,59
M&M's,20 pieces,67
Mac and Cheese,1 serving,699
Malt Beer,1 cup,88
Mango,1 mango,202
Mayo,1 tbsp,90
Meatlloaf,12 oz.,299
Milk,1 cup,149
Mint Chocolate Chip Ice Cream,1 scoop,172
Mushrooms,1 mushroom,1
Mustard,1 tbsp,3
Nutella,1 serving,82
Olive,1 olive,2
Omlette,1 omlette,94
Orange,1 organe,62
Orange Juice,8 fl. oz.,110
Peach,1 peach,59
Peanut Butter,1 tbsp,94
Pear,1 pear,101
Peas,1 cup,79
Pecan Pie,1 slice,541
Penne,2 oz.,197
Pepperonie,1 slice,10
Pineapple,1 pineapple,453
Pizza,1 slice ,174
Plain Yogurt,1 container,138
Plum,1 plum,30
Pomegranate,1 pomegranate,234
Popcorn,1 cup,64
Pork Chop,1 chop,194
Porterhouse Steak,1 steak,790
Potato Salad,1 cup,358
Potato Salad,1 potato,164
Pound Cake,1 serving,215
Pretzel,1 pretzel,389
Pumpkin Pie,1 slice,323
Quinoa,1/2 cup,315
Racoon,1 piece,908
Raisin Bran,1 serving,119
Ramen,1 dry package,380
Ranch Dressing,1 tbsp,77
Rasins,1 cup,434
Raspberries,1 cup,64
Ravioli,2 oz.,43
Red Wine,1 glass,128
Rib Eye Steak,1 steak,610
Rice Krispies,1 serving,146
Rost Beef,1 slice,638
Rum,1 1/2 fl. oz.,102
Salami,1 slice,40
Salmon,1/2 fillet,367
Shells,1 cup,300
Skim Milk,1 cup,86
Skirt Steak,6 oz.,344
Soda,12 fl. oz.,188
Sour Cream,1 tbsp,22
Sour Cream,1 tbsp,26
Soy Milk ,1 cup,109
Soy Sauce,1 tbsp,10
Spaghetti,2 oz.,207
SPAM,1 serving,176
Sparebibs,3 oz.,337
Special K,1 serving,139
Spinach,1 bunch,78
Squash,1 squash,88
Squirrel,1 piece,541
Strawberries,1 cup,49
Strawberry Ice Cream,1 scoop,170
Sweet Potato,1 potato,112
Sweet Potato Pie,1 piece,341
T-Bone Steak,6 oz. ,371
Taco,1 taco,213
Tangerine,1 tangerine,47
Tequila ,1 shot,28
Tiramisu,1 serving,492
Tomato Juice,8 fl. oz.,41
Tortilla,1 tortilla,180
Tortilla Chip,20 chips,160
Tuna,1/2 fillet,203
Tuna Salad,1 cup,383
Turkey,1 slice ,22
Turkey Cutlet,1 cutlet,214
Turkey Drumsticks,1 serving,208
Turkey Wings,1 wing,53
Vanilla Ice Cream,1 scoop ,145
Vodka,1 shot,58
Waffles,1 waffle,103
Water,8 fl. oz.,0
Watermelon,1 wedge,86
Wedding Cake,1 piece,415
Wheaties,1 serving,136
Whipped Cream,1 tbsp,8
White Bread,1 slice,67
White Wine,1 glass,123
Whole Wheat Bread,1 slice,114
Ziti,2 oz.,197
Zucchini,1 zucchini,33